title,rating,year,quote
肖申克的救赎,9.7,1994,
霸王别姬,9.6,1993,
泰坦尼克号,9.5,1997,
阿甘正传,9.5,1994,
千与千寻,9.4,2001,
美丽人生,9.5,1997,
星际穿越,9.4,2014,
这个杀手不太冷,9.4,1994,
盗梦空间,9.4,2010,
楚门的世界,9.4,1998,
辛德勒的名单,9.5,1993,
忠犬八公的故事,9.4,2009,
海上钢琴师,9.3,1998,
疯狂动物城,9.3,2016,
三傻大闹宝莱坞,9.2,2009,
机器人总动员,9.3,2008,
放牛班的春天,9.3,2004,
无间道,9.3,2002,
控方证人,9.6,1957,
寻梦环游记,9.1,2017,
大话西游之大圣娶亲,9.2,1995,
熔炉,9.3,2011,
触不可及,9.3,2011,
教父,9.3,1972,
末代皇帝,9.3,1987,
哈利·波特与魔法石,9.2,2001,
当幸福来敲门,9.1,2006,
龙猫,9.2,1988,
活着,9.3,1994,
怦然心动,9.1,2010,
蝙蝠侠：黑暗骑士,9.2,2008,
指环王3：王者无敌,9.3,2003,
我不是药神,9.0,2018,
乱世佳人,9.3,1939,
飞屋环游记,9.1,2009,
让子弹飞,9.0,2010,
哈尔的移动城堡,9.1,2004,
十二怒汉,9.4,1957,
海蒂和爷爷,9.3,2015,
素媛,9.3,2013,
猫鼠游戏,9.1,2002,
天空之城,9.2,1986,
鬼子来了,9.3,2000,
摔跤吧！爸爸,9.0,2016,
少年派的奇幻漂流,9.1,2012,
钢琴家,9.3,2002,
指环王2：双塔奇兵,9.2,2002,
死亡诗社,9.2,1989,
大话西游之月光宝盒,9.0,1995,
绿皮书,8.9,2018,
何以为家,9.1,2018,
闻香识女人,9.1,1992,
大闹天宫,9.4,1961,
黑客帝国,9.1,1999,
指环王1：护戒使者,9.1,2001,
罗马假日,9.1,1953,
教父2,9.3,1974,
狮子王,9.1,1994,
天堂电影院,9.2,1988,
饮食男女,9.2,1994,
辩护人,9.2,2013,
本杰明·巴顿奇事,9.0,2008,
搏击俱乐部,9.0,1999,
美丽心灵,9.1,2001,
穿条纹睡衣的男孩,9.2,2008,
情书,8.9,1995,
哈利·波特与死亡圣器(下),9.0,2011,
两杆大烟枪,9.1,1998,
窃听风暴,9.2,2006,
音乐之声,9.1,1965,
功夫,8.9,2004,
哈利·波特与阿兹卡班的囚徒,9.0,2004,
西西里的美丽传说,8.9,2000,
阿凡达,8.8,2009,
看不见的客人,8.8,2016,
拯救大兵瑞恩,9.1,1998,
沉默的羔羊,8.9,1991,
小鞋子,9.2,1997,
布达佩斯大饭店,8.9,2014,
蝴蝶效应,8.9,2004,
飞越疯人院,9.1,1975,
禁闭岛,8.9,2010,
还有明天,9.3,2023,
心灵捕手,9.0,1997,
致命魔术,8.9,2006,
低俗小说,8.9,1994,
超脱,9.0,2011,
哈利·波特与密室,8.9,2002,
一一,9.1,2000,
喜剧之王,8.8,1999,
摩登时代,9.3,1936,
杀人回忆,8.9,2003,
致命ID,8.9,2003,
春光乍泄,9.0,1997,
加勒比海盗,8.8,2003,
海豚湾,9.3,2009,
美国往事,9.1,1984,
红辣椒,9.0,2006,
七宗罪,8.8,1995,
唐伯虎点秋香,8.8,1993,
狩猎,9.1,2012,
幽灵公主,8.9,1997,
甜蜜蜜,8.9,1996,
寄生虫,8.8,2019,
天书奇谭,9.2,1983,
蝙蝠侠：黑暗骑士崛起,8.9,2012,
7号房的礼物,8.9,2013,
超能陆战队,8.8,2014,
第六感,8.9,1999,
茶馆,9.5,1982,
爱在黎明破晓前,8.8,1995,
爱在日落黄昏时,8.9,2004,
被嫌弃的松子的一生,8.8,2006,
哈利·波特与火焰杯,8.8,2005,
头脑特工队,8.8,2015,
未麻的部屋,9.1,1997,
重庆森林,8.8,1994,
借东西的小人阿莉埃蒂,8.9,2010,
